sign_pattern_index,null_mean_delta_L
505,0.0407254360231606
506,0.0407830731484233
507,0.0407039110492747
508,0.0407765020725801
509,0.0406973399734315
510,0.0407549770986942
511,0.0406758149995456
512,-0.05871996979255
513,-0.0587991318916986
514,-0.0587414947664359
515,-0.0588206568655845
516,-0.0587480658422791
517,-0.0588272279414277
518,-0.0587695908161649
519,-0.0588487529153136
520,-0.0181412539568036
521,-0.0182204160559522
522,-0.0181627789306895
523,-0.0182419410298381
524,-0.0181693500065327
525,-0.0182485121056813
526,-0.0181908749804186
527,-0.0182700370795672
528,0.0151269878072663
529,0.0150478257081177
530,0.0151054628333804
531,0.0150263007342318
532,0.0150988917575372
533,0.0150197296583886
534,0.0150773667836513
535,0.0149982046845027
536,0.0557057036430127
537,0.055626541543864
538,0.0556841786691268
539,0.0556050165699782
540,0.0556776075932836
541,0.055598445494135
542,0.0556560826193977
543,0.0555769205202491
544,-0.0591463800997552
545,-0.0592255421989038
546,-0.0591679050736411
547,-0.0592470671727897
548,-0.0591744761494842
549,-0.0592536382486329
550,-0.0591960011233701
551,-0.0592751632225188
552,-0.0185676642640088
553,-0.0186468263631574
554,-0.0185891892378947
555,-0.0186683513370433
556,-0.0185957603137379
557,-0.0186749224128865
558,-0.0186172852876237
559,-0.0186964473867724
560,0.0147005775000611
561,0.0146214154009125
562,0.0146790525261752
563,0.0145998904270266
564,0.014672481450332
565,0.0145933193511834
566,0.0146509564764462
567,0.0145717943772975
568,0.0552792933358075
569,0.0552001312366589
570,0.0552577683619216
571,0.055178606262773
572,0.0552511972860784
573,0.0551720351869298
574,0.0552296723121926
575,0.0551505102130439
576,-0.0551970684285265
577,-0.0552762305276752
578,-0.0552185934024124
579,-0.055297755501561
580,-0.0552251644782556
581,-0.0553043265774042
582,-0.0552466894521415
583,-0.0553258515512901
584,-0.0146183525927801
585,-0.0146975146919288
586,-0.014639877566666
587,-0.0147190396658147
588,-0.0146464486425092
589,-0.0147256107416578
590,-0.0146679736163951
591,-0.0147471357155437
592,0.0186498891712897
593,0.0185707270721411
594,0.0186283641974039
595,0.0185492020982552
596,0.0186217931215607
597,0.018542631022412
598,0.0186002681476748
599,0.0185211060485262
600,0.0592286050070361
601,0.0591494429078875
602,0.0592070800331503
603,0.0591279179340016
604,0.0592005089573071
605,0.0591213468581584
606,0.0591789839834212
607,0.0590998218842725
608,-0.0556234787357317
609,-0.0557026408348804
610,-0.0556450037096176
611,-0.0557241658087662
612,-0.0556515747854608
613,-0.0557307368846094
614,-0.0556730997593467
615,-0.0557522618584953
616,-0.0150447628999853
617,-0.015123924999134
618,-0.0150662878738712
619,-0.0151454499730198
620,-0.0150728589497144
621,-0.015152021048863
622,-0.0150943839236003
623,-0.0151735460227489
624,0.0182234788640846
625,0.0181443167649359
626,0.0182019538901987
627,0.0181227917910501
628,0.0181953828143555
629,0.0181162207152069
630,0.0181738578404696
631,0.018094695741321
632,0.0588021946998309
633,0.0587230326006823
634,0.0587806697259451
